"Source","Target","Type","Weight"
"GRASS_45","GRASS_57_59","Directed",171.5902854
"GRASS_58","GRASS_57_59","Directed",14.88567903
"DESERT_26","WOOD_3","Directed",130.3211317
"DESERT_26","WOOD_18","Directed",111.9009187
"DESERT_26","WOOD_51","Directed",224.0445582
"GRASS_34","GRASS_43","Directed",41.87146891
"GRASS_34","WOOD_21","Directed",32.71443247
"GRASS_34","SALT_16","Directed",41.7013138
"GRASS_40","GRASS_44","Directed",15.75668993
"GRASS_40","GRASS_54","Directed",20.40074959
"GRASS_43","WOOD_21","Directed",34.9934041
"GRASS_43","SALT_16","Directed",37.5222439
"GRASS_44","GRASS_54","Directed",18.17882059
"GRASS_44","GRASS_58","Directed",18.79608055
"GRASS_54","GRASS_58","Directed",21.78869071
"WOOD_3","WOOD_18","Directed",613.557422
"WOOD_3","WOOD_51","Directed",123.2282904
"WOOD_18","WOOD_51","Directed",132.5206373
"WOOD_21","SALT_16","Directed",35.67437566
"GRASS_51_53","GRASS_51_53","Directed",0
"MMLR14002_014","MMLR14002_014","Directed",0
"MCBA15007","MCBA15007","Directed",0
"GRASS_55","GRASS_55","Directed",0
"SALT_6","SALT_6","Directed",0
"MCBA15005","MCBA15005","Directed",0
"GRASS_31","GRASS_31","Directed",0
"SALT_5","SALT_5","Directed",0
"GRASS_39","GRASS_39","Directed",0
"SALT_11","SALT_11","Directed",0
"GRASS_42","GRASS_42","Directed",0
