Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
Curtobacterium_MCBA15005.bgpipe	91	3772244	729982	162438	69
Curtobacterium_MCBA15007.bgpipe	87	3768639	736210	139963	69
Curtobacterium_MMLR14002.bgpipe	137	3808678	430602	133969	70
Curtobacterium_MMLR14014.bgpipe	139	3822836	544344	117948	69
DESERT-26_final.bgpipe	40	3645388	297960	157693	70
GRASS-31_final.bgpipe	51	3777956	427543	124681	71
GRASS-34_final.bgpipe	35	3820963	514505	175314	70
GRASS-39_final.bgpipe	37	3819069	413469	235875	70
GRASS-40_final.bgpipe	39	3761440	412230	162204	71
GRASS-42_final.bgpipe	37	3838097	464582	178162	71
GRASS-43_final.bgpipe	30	3695116	368711	199100	71
GRASS-44_final.bgpipe	47	3789494	322443	146549	71
GRASS-45_final.bgpipe	57	3764851	432641	114736	70
GRASS-51_final.bgpipe	41	3785722	622624	148526	71
GRASS-53_final.bgpipe	42	3786104	497586	188091	71
GRASS-54_final.bgpipe	52	3927711	383234	150850	70
GRASS-55_final.bgpipe	34	3752819	390029	185098	71
GRASS-57_final.bgpipe	47	3728355	429576	121544	71
GRASS-58_final.bgpipe	42	3800007	288990	136860	71
GRASS-59_final.bgpipe	25	3729778	763370	250661	71
SALT-11_final.bgpipe	63	3632003	317692	120122	70
SALT-16_final.bgpipe	58	4357272	545783	150592	70
SALT-5_final.bgpipe	32	3744522	551366	201416	70
SALT-6_final.bgpipe	29	3739706	455088	179677	70
WOOD-18_final.bgpipe	30	3658022	527274	215655	70
WOOD-21_final.bgpipe	54	3833068	262480	133383	70
WOOD-3_final.bgpipe	34	3695248	562735	192290	70
WOOD-51_final.bgpipe	36	3558624	277446	172450	71
